,City,Country,Temperature,Humidity,Cloudiness,Wind Speed,Longitude,Latitude
413,Massaguet,TD,84.20,8,45,2.57,15.4365,12.4755
414,Masuda,JP,44.91,76,75,3.09,131.85,34.6667
415,Caravelas,BR,82.13,74,44,5.06,-39.2481,-17.7125
416,Montepuez,MZ,69.76,98,100,0.55,38.9997,-13.1256
417,Mlonggo,ID,78.58,83,100,6.02,110.7,-6.5333
418,Wanning,CN,71.42,93,9,1.92,110.3967,18.8003
419,Vanavara,RU,18.27,97,100,4.15,102.2797,60.34
420,Beira,MZ,78.40,89,20,2.57,34.8389,-19.8436
421,Fereydūnkenār,IR,49.32,80,100,4.45,52.5225,36.6864
422,Kalmunai,LK,79.00,86,79,3.17,81.8167,7.4167
423,Bhilai,IN,71.49,21,0,2.65,81.4333,21.2167
424,Bandarbeyla,SO,76.42,77,0,5.37,50.8122,9.4942
425,Huarmey,PE,78.62,64,42,5.58,-78.1522,-10.0681
426,Kaifeng,CN,37.40,87,100,1,114.3483,34.7911
427,Bergama,TR,44.10,75,0,4.63,27.1805,39.1207
428,Humaitá,BR,91.53,52,36,0.25,-63.0208,-7.5061
429,Shelopugino,RU,8.04,93,0,1.89,117.5599,51.6514
430,Mackay,AU,71.37,94,11,2.06,149.2,-21.15
431,Burayevo,RU,2.01,94,73,3.56,55.4083,55.8407
432,Naryan-Mar,RU,-27.65,85,92,4.12,53.087,67.6713
433,Salta,AR,84.20,45,40,3.6,-65.4117,-24.7859
434,Christchurch,NZ,53.83,93,90,2.57,172.6333,-43.5333
435,Solnechnyy,RU,-0.60,83,0,1.28,136.6319,50.7214
436,Laguna,US,60.39,41,1,4.12,-121.4238,38.421
437,San Martín,AR,95.00,26,20,3.6,-68.4681,-33.081
438,Kavieng,PG,80.56,76,100,1.17,150.7967,-2.5744
439,Lhokseumawe,ID,76.82,80,98,1.7,97.1507,5.1801
440,Batagay,RU,-23.60,84,94,1.7,134.6333,67.6333
441,Bāglung,NP,55.92,44,0,2.42,83.5898,28.2719
442,Eenhana,NA,86.00,37,65,3.09,16.3333,-17.4667
443,Hermosillo,MX,84.79,13,40,3.6,-110.9667,29.0667
444,Mossamedes,AO,76.41,82,86,1.63,12.1522,-15.1961
445,Dilla,ET,68.00,29,20,2.22,38.31,6.41
446,Rabo de Peixe,PT,62.60,88,40,3.6,-25.5833,37.8
447,Los Llanos de Aridane,ES,61.29,68,20,9.26,-17.9182,28.6585
448,Ngunguru,NZ,64.99,68,41,4.02,174.5,-35.6167
449,Puerto Colombia,CO,86.00,66,20,6.17,-74.9547,10.9878
450,Teguise,ES,64.40,63,20,3.09,-13.564,29.0605
451,Rio Brilhante,BR,82.96,68,56,2.6,-54.5464,-21.8019
452,Krasnaya Zarya,RU,25.86,95,100,7.06,37.6806,52.7825
453,Innisfail,AU,74.66,86,15,2.51,146.0333,-17.5333
454,Lázaro Cárdenas,MX,84.79,50,0,5.02,-102.2,17.9583
455,Lata,PT,53.37,84,14,0.89,-8.3327,40.1629
456,Jumla,NP,43.21,62,95,0.73,82.1838,29.2747
457,Douglas,US,67.33,34,1,13.38,-96.167,41.3
458,Brae,GB,41.00,75,75,5.14,-1.353,60.3964
459,Moose Factory,CA,13.08,34,1,3.6,-80.6094,51.2585
460,San Jose,US,58.44,38,40,5.14,-121.895,37.3394
461,Östersund,SE,23.00,74,0,4.12,14.6357,63.1792
462,Naica,MX,70.81,24,1,3.25,-105.4833,27.85
463,Borogontsy,RU,-19.86,87,100,4.26,131.1683,62.6683
464,Pacific Grove,US,55.47,51,1,3.6,-121.9166,36.6177
465,Cockburn Town,TC,82.40,69,1,2.06,-71.1419,21.4612
466,Tura,IN,65.28,41,0,1.4,90.2201,25.5198
467,Phan Thiet,VN,71.29,74,10,3.92,108.1,10.9333
468,Gritsovskiy,RU,21.79,93,78,6.72,38.1604,54.1376
469,Salym,RU,7.50,95,100,1.95,71.4789,60.0625
470,Lorengau,PG,79.77,79,100,2.05,147.2712,-2.0226
471,Ammon,US,35.60,75,1,3.09,-111.9666,43.4696
472,Pedernales,DO,84.20,57,7,1.4,-71.744,18.0384
473,Vigrestad,NO,30.67,64,92,2.19,5.7,58.5667
474,Bowling Green,US,58.55,29,1,2.06,-86.4436,36.9903
475,Mosquera,CO,64.40,63,75,2.06,-74.2302,4.7059
476,Port Blair,IN,79.50,79,0,3.26,92.75,11.6667
477,Santa Isabel Rio Negro,BR,87.04,70,58,2.21,-65.0192,-0.4139
478,Wamba,NG,82.92,20,0,1.15,8.6,8.9333
479,Codrington,AU,58.28,91,100,4.47,141.9667,-38.2667
480,Chumikan,RU,0.86,86,0,10.86,135.315,54.7183
481,Raudeberg,NO,33.01,91,83,2.62,5.1352,61.9875
482,Otradnoye,RU,20.59,86,90,6,30.8181,59.7775
483,Kiryat Gat,IL,52.86,100,0,1.41,34.7642,31.61
484,Lethem,GY,93.24,41,75,6.26,-59.7968,3.3803
485,Umm Kaddadah,SD,72.09,16,10,5.71,26.6876,13.6017
486,Belle Fourche,US,55.20,35,1,2.57,-103.8522,44.6714
487,Galle,LK,78.04,80,32,1.91,80.217,6.0367
488,Victoria Point,AU,69.73,97,77,2.96,153.3,-27.5833
489,Sooke,CA,44.44,83,99,7.2,-123.7276,48.3746
490,Daura,NG,80.87,13,0,5.29,11.4085,11.5538
491,Saldanha,ZA,62.60,67,29,2.57,17.9442,-33.0117
492,Ampanihy,MG,70.50,83,0,3.06,44.75,-24.7
493,Faya,SA,61.66,59,0,2.57,42.4509,18.3851
494,Muros,ES,48.00,65,1,1.34,-9.0603,42.7762
495,Shirokiy,RU,-3.69,93,19,0.75,129.523,49.758
496,Chuguyevka,RU,11.44,94,87,1.01,133.8633,44.1653
497,Sijunjung,ID,70.45,91,100,0.61,100.9537,-0.6876
498,Tigil',RU,-22.05,86,82,2.6,158.6667,57.8
499,Rāzole,IN,71.67,95,0,0.17,81.8333,16.4833
